Mouser Part Number,Quantity,Manufacturer Part Number,Description,Product URL,Notes
595-TPS2042P,5,TPS2042P,USB power-switch chip — PDIP-8,https://www.mouser.com/en/ProductDetail/Texas-Instruments/TPS2042P?qs=sGAEpiMZZMv0DJfhVcWlK5dti4XbSOwogfbpZrAIrQU%3D,One per Link Commander; five units total
595-CD4050BE,5,CD4050BE,PS/2 input buffer — PDIP-16,https://www.mouser.com/en/ProductDetail/Texas-Instruments/CD4050BE?qs=j%2FZo4ajzVJLKLpJvKsajlg%3D%3D,One per Link Commander; five units total
